name,optimal_value,best_value,time
A-n32-k5,784,1348,0.657017
A-n33-k5,661,1156,0.641335
A-n33-k6,742,1264,0.63722
A-n34-k5,778,1292,0.621609
A-n36-k5,799,1368,0.64722
A-n37-k5,669,1230,0.63889
A-n37-k6,949,1654,0.648205
A-n38-k5,730,1420,0.633767
A-n39-k5,822,1481,0.649804
A-n39-k6,831,1610,0.654743
A-n44-k6,937,1672,0.667878
A-n45-k6,944,2045,0.66879
A-n45-k7,1146,1944,0.671221
A-n46-k7,914,1854,0.673965
A-n48-k7,1073,2214,0.678906
A-n53-k7,1010,2438,0.688811
A-n54-k7,1167,2658,0.704804
A-n55-k9,1073,2413,0.788658
A-n60-k9,1354,3027,0.746599
A-n61-k9,1034,2659,0.739659
A-n62-k8,1288,3117,0.739193
A-n63-k9,1616,3653,0.753057
A-n63-k10,1314,3180,0.750181
A-n64-k9,1401,3163,0.741715
A-n65-k9,1174,3210,0.751287
A-n69-k9,1159,3379,0.758996
A-n80-k10,1763,4223,0.80722
