name,optimal_value,value,time
A-n32-k5,784,10000000,0.001
A-n33-k5,661,10000000,0.000997
A-n33-k6,742,10000000,0.0
A-n34-k5,778,10000000,0.0
A-n36-k5,799,10000000,0.0
A-n37-k5,669,10000000,0.0
A-n37-k6,949,10000000,0.001001
A-n38-k5,730,10000000,0.000992
A-n39-k5,822,10000000,0.001
A-n39-k6,831,10000000,0.0
A-n44-k6,937,10000000,0.001001
A-n45-k6,944,10000000,0.0
A-n45-k7,1146,10000000,0.001
A-n46-k7,914,10000000,0.001002
A-n48-k7,1073,10000000,0.0
A-n53-k7,1010,10000000,0.001
A-n54-k7,1167,10000000,0.001001
A-n55-k9,1073,10000000,0.001
A-n60-k9,1354,10000000,0.001012
A-n61-k9,1034,10000000,0.001001
A-n62-k8,1288,10000000,0.001002
A-n63-k9,1616,10000000,0.0
A-n63-k10,1314,10000000,0.000993
A-n64-k9,1401,10000000,0.000517
A-n65-k9,1174,10000000,0.001008
A-n69-k9,1159,10000000,0.0
A-n80-k10,1763,10000000,0.001477
