name,optimal_value,best_value,time
B-n31-k5,672,859,0.636912
B-n34-k5,788,1210,0.670834
B-n35-k5,955,1468,0.647791
B-n38-k6,805,1351,0.662143
B-n39-k5,549,1257,0.663322
B-n41-k6,829,1496,0.665055
B-n43-k6,742,1378,0.664633
B-n44-k7,909,1853,0.674111
B-n45-k5,751,1723,0.674642
B-n45-k6,678,1379,0.676046
B-n50-k7,741,2030,0.696605
B-n50-k8,1312,2262,0.709392
B-n51-k7,1032,2571,0.697095
B-n52-k7,747,2053,0.703664
B-n56-k7,707,1934,0.713572
B-n57-k7,1153,3001,0.72419
B-n57-k9,1598,2934,0.727563
B-n63-k10,1496,3531,0.75774
B-n64-k9,861,2854,0.752493
B-n66-k9,1316,3240,0.77297
B-n67-k10,1032,2912,0.772043
B-n68-k9,1272,3205,0.771796
B-n78-k10,1221,3595,0.80488
