name,optimal_value,value,time
B-n31-k5,672,10000000,0.001
B-n34-k5,788,10000000,0.000991
B-n35-k5,955,10000000,0.0
B-n38-k6,805,10000000,0.000999
B-n39-k5,549,10000000,0.000994
B-n41-k6,829,10000000,0.001003
B-n43-k6,742,10000000,0.001001
B-n44-k7,909,10000000,0.0
B-n45-k5,751,10000000,0.001001
B-n45-k6,678,10000000,0.000991
B-n50-k7,741,10000000,0.001
B-n50-k8,1312,10000000,0.0
B-n51-k7,1032,10000000,0.000991
B-n52-k7,747,10000000,0.0
B-n56-k7,707,10000000,0.001001
B-n57-k7,1153,10000000,0.001
B-n57-k9,1598,10000000,0.001001
B-n63-k10,1496,10000000,0.001
B-n64-k9,861,10000000,0.001
B-n66-k9,1316,10000000,0.001
B-n67-k10,1032,10000000,0.001
B-n68-k9,1272,10000000,0.001842
B-n78-k10,1221,10000000,0.002002
